CPF_CNPJ;TIPO_PESSOA;TIPO_DEVEDOR;NOME_DEVEDOR;UF_UNIDADE_RESPONSAVEL;UNIDADE_RESPONSAVEL;ENTIDADE_RESPONSAVEL;UNIDADE_INSCRICAO;NUMERO_INSCRICAO;TIPO_SITUACAO_INSCRICAO;SITUACAO_INSCRICAO;RECEITA_PRINCIPAL;DATA_INSCRICAO;INDICADOR_AJUIZADO;VALOR_CONSOLIDADO;ARQUIVO_ORIGEM
06.082.026/0001-02;Pessoa jurídica;Principal;LUVERDENSE ESPORTE CLUBE;MT;SINOP;PGFN;MATO GROSSO;FGMT201201070;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;11/09/2012;SIM;21847.54;FGTS
06.082.026/0001-02;Pessoa jurídica;Principal;LUVERDENSE ESPORTE CLUBE;MT;SINOP;PGFN;SINOP;FGMT201600614;Benefício Fiscal;INSCR PARCELADA;Contribuições FGTS;12/08/2016;NAO;318157.54;FGTS
06.082.026/0001-02;Pessoa jurídica;Principal;LUVERDENSE ESPORTE CLUBE;MT;SINOP;PGFN;SINOP;FGMT201800242;Em cobrança;AJUIZADA;Contribuições FGTS;19/10/2018;SIM;104941.26;FGTS
06.082.026/0001-02;Pessoa jurídica;Principal;LUVERDENSE ESPORTE CLUBE;MT;SINOP;PGFN;SINOP;CSMT201800243;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);19/10/2018;SIM;18338.64;FGTS
03.788.601/0001-07;Pessoa jurídica;Principal;SANTO ANTONIO DO LEVERGER COUNTRY CLUBE;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT200700195;Em cobrança;AJUIZADA;Contribuições FGTS;07/08/2007;SIM;12550.63;FGTS
03.788.601/0001-07;Pessoa jurídica;Principal;SANTO ANTONIO DO LEVERGER COUNTRY CLUBE;MT;MATO GROSSO;PGFN;MATO GROSSO;CSMT200700196;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);07/08/2007;SIM;148.68;FGTS
03.177.011/0001-30;Pessoa jurídica;Principal;UNIAO ESPORTE CLUBE DE RONDONOPOLIS;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT201300404;Em cobrança;AJUIZADA;Contribuições FGTS;21/03/2013;SIM;4743.31;FGTS
03.177.011/0001-30;Pessoa jurídica;Principal;UNIAO ESPORTE CLUBE DE RONDONOPOLIS;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT201300402;Em cobrança;AJUIZADA;Contribuições FGTS;21/03/2013;SIM;144179.87;FGTS
03.177.011/0001-30;Pessoa jurídica;Principal;UNIAO ESPORTE CLUBE DE RONDONOPOLIS;MT;MATO GROSSO;PGFN;MATO GROSSO;CSMT201300403;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);21/03/2013;SIM;150.09;FGTS
03.177.011/0001-30;Pessoa jurídica;Principal;UNIAO ESPORTE CLUBE DE RONDONOPOLIS;MT;MATO GROSSO;PGFN;MATO GROSSO;CSMT201300405;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);21/03/2013;SIM;776.22;FGTS
04.286.663/0001-75;Pessoa jurídica;Principal;SINOP ESPORTE CLUBE;MT;SINOP;PGFN;MATO GROSSO;FGMT201300146;Em cobrança;AJUIZADA;Contribuições FGTS;20/02/2013;SIM;22674.60;FGTS
04.286.663/0001-75;Pessoa jurídica;Principal;SINOP ESPORTE CLUBE;MT;SINOP;PGFN;MATO GROSSO;CSMT201300147;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);20/02/2013;SIM;3224.18;FGTS
24.776.379/0001-94;Pessoa jurídica;Principal;RONDONOPOLIS PRAIA CLUBE SC LTDA;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT201100098;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;23/05/2011;SIM;2951.37;FGTS
24.776.379/0001-94;Pessoa jurídica;Principal;RONDONOPOLIS PRAIA CLUBE SC LTDA;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT201300259;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;12/03/2013;SIM;7527.68;FGTS
26.561.993/0001-64;Pessoa jurídica;Principal;CUIABA PRAIA CLUBE SC LTDA;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT200100183;Em cobrança;INSCRITA;Contribuições FGTS;25/09/2001;NAO;987.78;FGTS
03.755.188/0001-76;Pessoa jurídica;Principal;CACERES ESPORTE CLUBE;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT201300713;Em cobrança;AJUIZADA;Contribuições FGTS;16/05/2013;SIM;11321.37;FGTS
03.755.188/0001-76;Pessoa jurídica;Principal;CACERES ESPORTE CLUBE;MT;MATO GROSSO;PGFN;MATO GROSSO;CSMT201300714;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);16/05/2013;SIM;1365.84;FGTS
24.977.217/0001-14;Pessoa jurídica;Principal;CLUBE RECREATIVO CISNE BRANCO;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT201500045;Em cobrança;INSCRITA;Contribuições FGTS;02/03/2015;NAO;4516.22;FGTS
05.273.381/0001-04;Pessoa jurídica;Principal;OPERARIO FUTEBOL CLUBE EIRELI;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT201400332;Em cobrança;AJUIZADA;Contribuições FGTS;24/09/2014;SIM;21588.25;FGTS
05.273.381/0001-04;Pessoa jurídica;Principal;OPERARIO FUTEBOL CLUBE EIRELI;MT;MATO GROSSO;PGFN;MATO GROSSO;FGMT201400330;Em cobrança;AJUIZADA;Contribuições FGTS;24/09/2014;SIM;276809.37;FGTS
05.273.381/0001-04;Pessoa jurídica;Principal;OPERARIO FUTEBOL CLUBE EIRELI;MT;MATO GROSSO;PGFN;MATO GROSSO;CSMT201400333;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);24/09/2014;SIM;2510.30;FGTS
58.196.684/0001-29;Pessoa jurídica;Principal;SANTOS FUTEBOL CLUBE;NA;Não se Aplica;CAIXA;SANTOS;FGSP200703034;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;06/09/2007;SIM;5767365.86;FGTS
58.196.684/0001-29;Pessoa jurídica;Principal;SANTOS FUTEBOL CLUBE;NA;Não se Aplica;CAIXA;SANTOS;FGSP200202897;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;12/07/2002;SIM;217794.01;FGTS
58.196.684/0001-29;Pessoa jurídica;Principal;SANTOS FUTEBOL CLUBE;NA;Não se Aplica;CAIXA;SANTOS;FGSP199804545;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;28/07/1998;SIM;316225.20;FGTS
58.196.684/0001-29;Pessoa jurídica;Principal;SANTOS FUTEBOL CLUBE;NA;Não se Aplica;CAIXA;SANTOS;FGSP201501191;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;06/05/2015;SIM;2278768.88;FGTS
58.196.684/0001-29;Pessoa jurídica;Principal;SANTOS FUTEBOL CLUBE;NA;Não se Aplica;CAIXA;SANTOS;FGSP200102392;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;01/06/2001;SIM;48248.15;FGTS
87.407.896/0001-06;Pessoa jurídica;Principal;BAGE TENIS CLUBE;NA;Não se Aplica;CAIXA;PELOTAS;FGTSRS9600124;Em cobrança;AJUIZADA;Contribuições FGTS;28/06/1996;SIM;13494.34;FGTS
00.130.888/0001-87;Pessoa jurídica;Principal;ESCOLA DE NATACAO GOLFINHO CENTER LTDA;NA;Não se Aplica;CAIXA;MARANHAO;FGMA201100084;Em cobrança;AJUIZADA;Contribuições FGTS;30/06/2011;SIM;6023.49;FGTS
33.672.205/0051-31;Pessoa jurídica;Principal;CAMPING CLUBE DO BRASIL;NA;Não se Aplica;CAIXA;2ª REGIÃO;FGRJ201301675;Em cobrança;AJUIZADA;Contribuições FGTS;26/12/2013;SIM;83443.38;FGTS
45.084.001/0001-08;Pessoa jurídica;Principal;VALE DO PARAIBA PESCA E CACA VAPAPESCA;NA;Não se Aplica;CAIXA;SAO JOSE DOS CAMPOS;FGSP200002949;Em cobrança;AJUIZADA;Contribuições FGTS;07/08/2000;SIM;8639.36;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS201801535;Em cobrança;AJUIZADA;Contribuições FGTS;27/09/2018;SIM;59793.55;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGTSRS9600621;Em cobrança;AJUIZADA;Contribuições FGTS;16/12/1996;SIM;21009.90;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGTSRS9600620;Em cobrança;AJUIZADA;Contribuições FGTS;16/12/1996;SIM;7591.04;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGTSRS9600622;Em cobrança;AJUIZADA;Contribuições FGTS;16/12/1996;SIM;8741.94;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGTSRS9600623;Em cobrança;AJUIZADA;Contribuições FGTS;16/12/1996;SIM;38956.79;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGTSRS9600618;Em cobrança;AJUIZADA;Contribuições FGTS;16/12/1996;SIM;1886.52;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGTSRS9600619;Em cobrança;AJUIZADA;Contribuições FGTS;16/12/1996;SIM;33419.50;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS200801354;Em cobrança;AJUIZADA;Contribuições FGTS;09/05/2008;SIM;97018.77;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS200801353;Em cobrança;AJUIZADA;Contribuições FGTS;09/05/2008;SIM;6334.31;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS200801355;Em cobrança;AJUIZADA;Contribuições FGTS;09/05/2008;SIM;171121.96;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS200300289;Em cobrança;AJUIZADA;Contribuições FGTS;09/06/2003;SIM;18465.25;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS200300081;Em cobrança;AJUIZADA;Contribuições FGTS;11/03/2003;SIM;12995.23;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS200700088;Em cobrança;AJUIZADA;Contribuições FGTS;01/03/2007;SIM;9634.38;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS200101152;Em cobrança;AJUIZADA;Contribuições FGTS;03/09/2001;SIM;9399.68;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS200100402;Em cobrança;AJUIZADA;Contribuições FGTS;24/04/2001;SIM;13066.90;FGTS
90.222.407/0001-56;Pessoa jurídica;Principal;GREMIO ESPORTIVO BRASIL;NA;Não se Aplica;CAIXA;PELOTAS;FGRS199800675;Em cobrança;AJUIZADA;Contribuições FGTS;29/07/1998;SIM;381.24;FGTS
40.633.596/0001-81;Pessoa jurídica;Principal;SAO FRANCISCO COUNTRY CLUBE;NA;Não se Aplica;CAIXA;BAHIA;FGBA200300050;Em cobrança;AJUIZADA;Contribuições FGTS;29/04/2003;SIM;45242.16;FGTS
48.960.421/0001-90;Pessoa jurídica;Principal;CLUBE DE CAMPO PEDRINHAS;NA;Não se Aplica;CAIXA;TAUBATE;FGSP200004349;Em cobrança;AJUIZADA;Contribuições FGTS;11/09/2000;SIM;295273.26;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA201200461;Em cobrança;AJUIZADA;Contribuições FGTS;20/12/2012;SIM;108458.61;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA201200462;Em cobrança;AJUIZADA;Contribuições FGTS;20/12/2012;SIM;5912.60;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA201601638;Em cobrança;AJUIZADA;Contribuições FGTS;24/06/2016;SIM;22488.92;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA201700363;Em cobrança;AJUIZADA;Contribuições FGTS;13/04/2017;SIM;376235.15;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA199800228;Em cobrança;AJUIZADA;Contribuições FGTS;09/11/1998;SIM;2405.64;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA199800229;Em cobrança;AJUIZADA;Contribuições FGTS;09/11/1998;SIM;31730.62;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA199800230;Em cobrança;AJUIZADA;Contribuições FGTS;09/11/1998;SIM;12579.46;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;ALAGOAS;FGPA200000107;Em cobrança;AJUIZADA;Contribuições FGTS;23/08/2000;SIM;85878.46;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;ALAGOAS;FGPA200000075;Em cobrança;AJUIZADA;Contribuições FGTS;22/08/2000;SIM;18290.21;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;ALAGOAS;FGPA200000108;Em cobrança;AJUIZADA;Contribuições FGTS;23/08/2000;SIM;31438.72;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA200100920;Em cobrança;AJUIZADA;Contribuições FGTS;28/11/2001;SIM;56967.39;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA201100101;Em cobrança;AJUIZADA;Contribuições FGTS;20/04/2011;SIM;17557.10;FGTS
04.144.713/0001-80;Pessoa jurídica;Principal;PARA CLUBE;NA;Não se Aplica;CAIXA;PARA;FGPA201500261;Em cobrança;AJUIZADA;Contribuições FGTS;06/05/2015;SIM;88899.67;FGTS
04.608.915/0001-35;Pessoa jurídica;Principal;ARIQUEMES COUNTRY CLUB;NA;Não se Aplica;CAIXA;RONDONIA;FGRO201600465;Em cobrança;AJUIZADA;Contribuições FGTS;17/10/2016;SIM;1496.48;FGTS
04.608.915/0001-35;Pessoa jurídica;Principal;ARIQUEMES COUNTRY CLUB;NA;Não se Aplica;CAIXA;RONDONIA;FGRO201600464;Em cobrança;AJUIZADA;Contribuições FGTS;17/10/2016;SIM;51097.66;FGTS
03.477.130/0001-08;Pessoa jurídica;Principal;CLUBE ESPORTIVO DOM BOSCO;NA;Não se Aplica;CAIXA;MATO GROSSO;FGTSMT9600122;Em cobrança;AJUIZADA;Contribuições FGTS;22/11/1996;SIM;173972.54;FGTS
10.298.917/0001-78;Pessoa jurídica;Principal;ESTUDANTES SPORT CLUB;NA;Não se Aplica;CAIXA;5ª REGIÃO;FGPE200000652;Em cobrança;AJUIZADA;Contribuições FGTS;20/11/2000;SIM;10628.67;FGTS
89.224.604/0001-25;Pessoa jurídica;Principal;SOCIEDADE ESPORTIVA SAO BORJA;NA;Não se Aplica;CAIXA;SANTA MARIA;FGRS199700777;Em cobrança;AJUIZADA;Contribuições FGTS;16/12/1997;SIM;7518.72;FGTS
25.108.093/0001-01;Pessoa jurídica;Principal;AGUAI CLUB PARK HOTEL;NA;Não se Aplica;CAIXA;GOIAS;FGTSGO9600458;Em cobrança;AJUIZADA;Contribuições FGTS;16/07/1996;SIM;3716.55;FGTS
25.108.093/0001-01;Pessoa jurídica;Principal;AGUAI CLUB PARK HOTEL;NA;Não se Aplica;CAIXA;GOIAS;FGTSGO9600460;Em cobrança;AJUIZADA;Contribuições FGTS;17/07/1996;SIM;32147.56;FGTS
25.108.093/0001-01;Pessoa jurídica;Principal;AGUAI CLUB PARK HOTEL;NA;Não se Aplica;CAIXA;GOIAS;FGGO200200062;Em cobrança;AJUIZADA;Contribuições FGTS;12/03/2002;SIM;27178.71;FGTS
25.108.093/0001-01;Pessoa jurídica;Principal;AGUAI CLUB PARK HOTEL;NA;Não se Aplica;CAIXA;GOIAS;FGGO200200063;Em cobrança;AJUIZADA;Contribuições FGTS;12/03/2002;SIM;18163.04;FGTS
00.015.776/0001-85;Pessoa jurídica;Principal;CLUBE BALNEARIO MEIA PONTE;NA;Não se Aplica;CAIXA;GOIAS;FGGO199900189;Em cobrança;AJUIZADA;Contribuições FGTS;18/03/1999;SIM;18342.95;FGTS
00.015.776/0001-85;Pessoa jurídica;Principal;CLUBE BALNEARIO MEIA PONTE;NA;Não se Aplica;CAIXA;GOIAS;FGGO199800373;Em cobrança;AJUIZADA;Contribuições FGTS;15/09/1998;SIM;4209.23;FGTS
00.015.776/0001-85;Pessoa jurídica;Principal;CLUBE BALNEARIO MEIA PONTE;NA;Não se Aplica;CAIXA;GOIAS;FGGO199800374;Em cobrança;AJUIZADA;Contribuições FGTS;15/09/1998;SIM;9728.43;FGTS
00.015.776/0001-85;Pessoa jurídica;Principal;CLUBE BALNEARIO MEIA PONTE;NA;Não se Aplica;CAIXA;GOIAS;FGGO199800375;Em cobrança;AJUIZADA;Contribuições FGTS;15/09/1998;SIM;19176.77;FGTS
00.015.776/0001-85;Pessoa jurídica;Principal;CLUBE BALNEARIO MEIA PONTE;NA;Não se Aplica;CAIXA;GOIAS;FGGO199800376;Em cobrança;AJUIZADA;Contribuições FGTS;15/09/1998;SIM;15040.64;FGTS
00.015.776/0001-85;Pessoa jurídica;Principal;CLUBE BALNEARIO MEIA PONTE;NA;Não se Aplica;CAIXA;GOIAS;FGGO200200648;Em cobrança;AJUIZADA;Contribuições FGTS;28/10/2002;SIM;9537.24;FGTS
27.057.025/0001-88;Pessoa jurídica;Principal;RIO BRANCO ATLETICO CLUBE;NA;Não se Aplica;CAIXA;ESPIRITO SANTO;FGES199700104;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;23/06/1997;SIM;7798.66;FGTS
27.057.025/0001-88;Pessoa jurídica;Principal;RIO BRANCO ATLETICO CLUBE;NA;Não se Aplica;CAIXA;ESPIRITO SANTO;FGES200000143;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;03/10/2000;SIM;68251.33;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002206;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;829362.85;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002207;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;372449.93;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002205;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;58422.89;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002204;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;52648.66;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002203;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;29790.79;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002215;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;74578.36;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002201;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;39033.62;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002209;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;238319.30;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002208;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;125621.02;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002210;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;72250.11;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002211;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;35515.77;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002212;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;306290.43;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002202;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;22164.90;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002213;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;61018.94;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP200002214;Em cobrança;AJUIZADA;Contribuições FGTS;23/06/2000;SIM;193483.80;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGTSCP9601010;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;11/11/1996;SIM;74283.35;FGTS
71.858.054/0001-30;Pessoa jurídica;Principal;ESPORTE CLUBE SAO BENTO;NA;Não se Aplica;CAIXA;SOROCABA;FGSP201003207;Em cobrança;AJUIZADA;Contribuições FGTS;28/09/2010;SIM;28213.18;FGTS
33.651.662/0002-61;Pessoa jurídica;Principal;CLUBE DOS SUBTENENTES E SARGENTOS DO EXERCITO;NA;Não se Aplica;CAIXA;2ª REGIÃO;FGRJ200600098;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;17/05/2006;SIM;1912.00;FGTS
33.651.662/0002-61;Pessoa jurídica;Principal;CLUBE DOS SUBTENENTES E SARGENTOS DO EXERCITO;NA;Não se Aplica;CAIXA;2ª REGIÃO;FGRJ200600100;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;19/05/2006;SIM;9386.20;FGTS
07.278.203/0001-93;Pessoa jurídica;Principal;CLUBE DO ADVOGADO;NA;Não se Aplica;CAIXA;CEARA;FGTSCE9600024;Em cobrança;AJUIZADA;Contribuições FGTS;26/09/1996;SIM;686.63;FGTS
80.289.697/0001-00;Pessoa jurídica;Principal;THERMAS DE MARINGA;NA;Não se Aplica;CAIXA;MARINGA;FGPR199900816;Em cobrança;AJUIZADA;Contribuições FGTS;12/08/1999;SIM;221283.28;FGTS
80.289.697/0001-00;Pessoa jurídica;Principal;THERMAS DE MARINGA;NA;Não se Aplica;CAIXA;MARINGA;FGPR199900814;Em cobrança;AJUIZADA;Contribuições FGTS;12/08/1999;SIM;58427.00;FGTS
80.289.697/0001-00;Pessoa jurídica;Principal;THERMAS DE MARINGA;NA;Não se Aplica;CAIXA;MARINGA;FGPR199900817;Em cobrança;AJUIZADA;Contribuições FGTS;12/08/1999;SIM;46293.02;FGTS
80.289.697/0001-00;Pessoa jurídica;Principal;THERMAS DE MARINGA;NA;Não se Aplica;CAIXA;MARINGA;FGPR199900819;Em cobrança;AJUIZADA;Contribuições FGTS;12/08/1999;SIM;20730.95;FGTS
80.289.697/0001-00;Pessoa jurídica;Principal;THERMAS DE MARINGA;NA;Não se Aplica;CAIXA;MARINGA;FGPR199900815;Em cobrança;AJUIZADA;Contribuições FGTS;12/08/1999;SIM;105372.65;FGTS
80.289.697/0001-00;Pessoa jurídica;Principal;THERMAS DE MARINGA;NA;Não se Aplica;CAIXA;MARINGA;FGPR199900818;Em cobrança;AJUIZADA;Contribuições FGTS;12/08/1999;SIM;249019.81;FGTS
12.469.151/0001-72;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA CEAL;NA;Não se Aplica;CAIXA;ALAGOAS;FGAL200300014;Em cobrança;AJUIZADA;Contribuições FGTS;20/02/2003;SIM;181.40;FGTS
45.029.303/0001-75;Pessoa jurídica;Principal;ESPORTE CLUBE NOROESTE;NA;Não se Aplica;CAIXA;BAURU;FGSP199700222;Em cobrança;AJUIZADA;Contribuições FGTS;25/04/1997;SIM;42250.32;FGTS
45.029.303/0001-75;Pessoa jurídica;Principal;ESPORTE CLUBE NOROESTE;NA;Não se Aplica;CAIXA;BAURU;FGSP200006197;Em cobrança;AJUIZADA;Contribuições FGTS;17/10/2000;SIM;92781.92;FGTS
45.029.303/0001-75;Pessoa jurídica;Principal;ESPORTE CLUBE NOROESTE;NA;Não se Aplica;CAIXA;BAURU;FGSP201504023;Em cobrança;AJUIZADA;Contribuições FGTS;16/12/2015;SIM;398362.88;FGTS
45.029.303/0001-75;Pessoa jurídica;Principal;ESPORTE CLUBE NOROESTE;NA;Não se Aplica;CAIXA;BAURU;FGTSBU9602506;Em cobrança;AJUIZADA;Contribuições FGTS;27/08/1996;SIM;37630.05;FGTS
45.029.303/0001-75;Pessoa jurídica;Principal;ESPORTE CLUBE NOROESTE;NA;Não se Aplica;CAIXA;BAURU;FGTSBU9602505;Em cobrança;AJUIZADA;Contribuições FGTS;27/08/1996;SIM;20398.43;FGTS
45.029.303/0001-75;Pessoa jurídica;Principal;ESPORTE CLUBE NOROESTE;NA;Não se Aplica;CAIXA;BAURU;FGTSBU9602504;Em cobrança;AJUIZADA;Contribuições FGTS;27/08/1996;SIM;154277.80;FGTS
